tool_id,cell_id,visualid,dvtsteddt,curfbin,prttesterid,thermalhdid,tiuid,tname_PCS_SOT0,tname_PCS_SOT1,tname_PCS_SOT2,tname_PCS_SOT3,tname_PCS_SOT4,tname_PCS_SOT5
test2,A301,M4237QC400375,20241111000046,4288,P HXT T64502,CXF86FF3989,F87KD10T4438,102.6,103,102.9,103.6,102.4,102.7
test2,CLASSHOT] => M4237QC400375,,,,,,,,,,,,
test2,A401,M4237QC400717,20241111000127,2520,P HXT T61203,CXF86FF4125,F87KD10T4430,105.7,105.6,105.3,106,104.3,104.3
test2,CLASSHOT] => M4237QC400717,,,,,,,,,,,,
test2,A201,M4237QC400813,20241111000310,193,P HXT T65477,CXF86FF4222,F87KD10T3991,100.3,101.8,101.7,101.2,100.7,101
test2,CLASSHOT] => M4237QC400813,,,,,,,,,,,,
test2,A402,M4237QC400712,20241111000322,142,P HXT T65524,CXF86FF3502,F87KD10T3626,104.9,104.1,103.9,106,103.6,103.8
test2,CLASSHOT] => M4237QC400712,,,,,,,,,,,,
test2,A502,M4237QC400702,20241111000516,4687,P HXT T64499,CXF86FF3990,F87KD10T3625,106.8,105.5,105.3,107.4,105,105.2
test2,CLASSHOT] => M4237QC400702,,,,,,,,,,,,
test2,A402,M4237QC400717,20241111000725,2520,P HXT T65524,CXF86FF3502,F87KD10T3626,105.1,104.5,104.1,106.1,104,104.1
test2,CLASSHOT] => M4237QC400717,,,,,,,,,,,,
test2,A301,M4237QC400379,20241111000803,193,P HXT T64502,CXF86FF3989,F87KD10T4438,102.2,103,102.8,102.9,102.4,102.6
test2,CLASSHOT] => M4237QC400379,,,,,,,,,,,,
test2,A401,M4237QC400266,20241111000918,193,P HXT T61203,CXF86FF4125,F87KD10T4430,106.9,106.1,105.5,107.8,105.4,105.4
test2,CLASSHOT] => M4237QC400266,,,,,,,,,,,,
test2,A201,M4237QC400665,20241111001034,193,P HXT T65477,CXF86FF4222,F87KD10T3991,101.8,102.7,102.5,102.2,101.5,101.8
test2,CLASSHOT] => M4237QC400665,,,,,,,,,,,,
test2,A502,M4237QC400698,20241111001313,142,P HXT T64499,CXF86FF3990,F87KD10T3625,107.4,105.8,105.4,107.5,104.8,105.1
test2,CLASSHOT] => M4237QC400698,,,,,,,,,,,,
test2,A402,M4237QC400405,20241111001443,142,P HXT T65524,CXF86FF3502,F87KD10T3626,105.3,104.4,104,106.2,103.7,104
test2,CLASSHOT] => M4237QC400405,,,,,,,,,,,,
test2,A301,M4237QC400295,20241111001518,193,P HXT T64502,CXF86FF3989,F87KD10T4438,106.5,105.7,105.4,107,104.8,105.3
test2,CLASSHOT] => M4237QC400295,,,,,,,,,,,,
test2,A401,M4237QC400838,20241111001648,142,P HXT T61203,CXF86FF4125,F87KD10T4430,104.5,104.9,104.7,105,103.7,103.9
test2,CLASSHOT] => M4237QC400838,,,,,,,,,,,,
test2,A201,M4237QC400668,20241111001753,142,P HXT T65477,CXF86FF4222,F87KD10T3991,100,101,101,100.7,100.1,100.3
test2,CLASSHOT] => M4237QC400668,,,,,,,,,,,,
test2,A502,M4237QC400825,20241111002032,142,P HXT T64499,CXF86FF3990,F87KD10T3625,107.7,106.3,105.7,107.5,105,105.4
test2,CLASSHOT] => M4237QC400825,,,,,,,,,,,,
test2,A402,M4237QC400384,20241111002228,142,P HXT T65524,CXF86FF3502,F87KD10T3626,105.1,104.6,104.2,106.4,103.5,103.9
test2,CLASSHOT] => M4237QC400384,,,,,,,,,,,,
test2,A301,M4237QC400287,20241111002252,193,P HXT T64502,CXF86FF3989,F87KD10T4438,103.5,103.6,103.5,104.2,102.8,103.3
test2,CLASSHOT] => M4237QC400287,,,,,,,,,,,,
test2,A401,M4237QC400649,20241111002410,193,P HXT T61203,CXF86FF4125,F87KD10T4430,105.8,105.5,105.2,106.1,104.2,104.2
test2,CLASSHOT] => M4237QC400649,,,,,,,,,,,,
test2,A201,M4237QC400680,20241111002517,142,P HXT T65477,CXF86FF4222,F87KD10T3991,101.6,102.5,102.4,102.3,101.5,101.8
test2,CLASSHOT] => M4237QC400680,,,,,,,,,,,,
test2,A502,M4237QC400827,20241111002756,142,P HXT T64499,CXF86FF3990,F87KD10T3625,107.5,106.2,105.5,107.5,105.4,105.5
test2,CLASSHOT] => M4237QC400827,,,,,,,,,,,,
test2,A402,M4237QC400837,20241111002946,193,P HXT T65524,CXF86FF3502,F87KD10T3626,104.6,104.5,104.2,105.9,104.1,104.4
test2,CLASSHOT] => M4237QC400837,,,,,,,,,,,,
test2,A301,M4237QC400299,20241111003008,193,P HXT T64502,CXF86FF3989,F87KD10T4438,101.6,102.5,102.4,103,102,102.1
test2,CLASSHOT] => M4237QC400299,,,,,,,,,,,,
test2,A201,M4237QC400417,20241111003250,193,P HXT T65477,CXF86FF4222,F87KD10T3991,102.2,102.5,102.3,102.8,101.2,101.5
test2,CLASSHOT] => M4237QC400417,,,,,,,,,,,,
test2,A502,M4237QC400807,20241111003542,142,P HXT T64499,CXF86FF3990,F87KD10T3625,107.6,106.2,105.7,107.5,105.3,105.5
test2,CLASSHOT] => M4237QC400807,,,,,,,,,,,,
test2,A402,M4237QC400360,20241111003738,5486,P HXT T65524,CXF86FF3502,F87KD10T3626,104.2,103.7,103.2,105.2,102.7,103.1
test2,CLASSHOT] => M4237QC400360,,,,,,,,,,,,
test2,A301,M4237QC400324,20241111003742,193,P HXT T64502,CXF86FF3989,F87KD10T4438,104.8,105,104.8,106.1,104.4,104.7
test2,CLASSHOT] => M4237QC400324,,,,,,,,,,,,
test2,A301,M4237QC400637,20241111003848,2702,P HXT T64502,CXF86FF3989,F87KD10T4438,107.1,105.9,105.7,107.7,105.1,105.7
test2,CLASSHOT] => M4237QC400637,,,,,,,,,,,,
test2,A201,M4237QC400700,20241111004237,193,P HXT T65477,CXF86FF4222,F87KD10T3991,102.9,103.1,102.9,103.6,101.9,102.4
