FACILITY,ENTITY,TIMESTAMP,TOOL,TOOL_INSTANCE_NAME,STATUS,TASK_NAME,ELAPSE_SECONDS,MANUAL_STATE_CODE,COMMENTS,UPPER_STATE,WW,NEXT_TASK_NAME,NEXT_TASK_DURATION
A01,HXV003,2025-02-25 20:55:31,HXV003,ToolController,PROD,Processing,11073.0,BAGGED,,PROD,202509,,1589.0
A01,HXV003,2025-02-26 00:00:04,HXV003,ToolController,STANDBY,,1589.0,BAGGED,,STANDBY,202509,Processing,6484.0
A01,HXV003,2025-02-26 00:26:33,HXV003,ToolController,PROD,Processing,6484.0,BAGGED,,PROD,202509,,1093.0
A01,HXV003,2025-02-26 02:14:37,HXV003,ToolController,STANDBY,,1093.0,BAGGED,,STANDBY,202509,Processing,10153.0
A01,HXV003,2025-02-26 02:32:50,HXV003,ToolController,PROD,Processing,10153.0,BAGGED,,PROD,202509,,
A01,HXV003,2025-02-26 05:22:03,HXV003,ToolController,STANDBY,,,BAGGED,,STANDBY,202509,,
A01,HXV005,2025-02-25 23:18:06,HXV005,ToolController,PROD,Processing,22212.0,PROD,,PROD,202509,No Task,0.0
A01,HXV005,2025-02-26 05:28:18,HXV005,ToolController,Unknown,No Task,0.0,PROD,,UNKNOWN,202509,,11.0
A01,HXV005,2025-02-26 05:28:18,HXV005,ToolController,UNKNOWN,,11.0,UNKNOWN,Host disconnected from tool,UNKNOWN,202509,No Task,0.0
A01,HXV005,2025-02-26 05:28:29,HXV005,ToolController,Unknown,No Task,0.0,UNKNOWN,,UNKNOWN,202509,,8.0
A01,HXV005,2025-02-26 05:28:29,HXV005,ToolController,PROD,,8.0,PROD,Communication with tool restored,PROD,202509,Processing,69516.0
A01,HXV005,2025-02-26 05:28:37,HXV005,ToolController,PROD,Processing,69516.0,PROD,,PROD,202509,,1.0
A01,HXV005,2025-02-27 00:47:13,HXV005,ToolController,STANDBY,,1.0,PROD,,STANDBY,202509,,620.0
A01,HXV005,2025-02-27 00:47:14,HXV005,ToolController,STANDBY,,620.0,PROD,,STANDBY,202509,Processing,13389.0
A01,HXV005,2025-02-27 00:57:34,HXV005,ToolController,PROD,Processing,13389.0,PROD,,PROD,202509,,0.0
A01,HXV005,2025-02-27 04:40:43,HXV005,ToolController,STANDBY,,0.0,PROD,,STANDBY,202509,,530.0
A01,HXV005,2025-02-27 04:40:43,HXV005,ToolController,STANDBY,,530.0,PROD,,STANDBY,202509,Processing,20914.0
A01,HXV005,2025-02-27 04:49:33,HXV005,ToolController,PROD,Processing,20914.0,PROD,,PROD,202509,,1.0
A01,HXV005,2025-02-27 10:38:07,HXV005,ToolController,STANDBY,,1.0,PROD,,STANDBY,202509,,350.0
A01,HXV005,2025-02-27 10:38:08,HXV005,ToolController,STANDBY,,350.0,PROD,,STANDBY,202509,Processing,15309.0
A01,HXV005,2025-02-27 10:43:58,HXV005,ToolController,PROD,Processing,15309.0,PROD,,PROD,202509,,1.0
